'name', 'phd year', 'phd bibcode', 'phd aff','latest year','latest aff', 'latest 1st year','latest 1st aff', 'largest publication gap',                  'numRecords','numLinked', 'uniqueName', 'latest year unlinked',                  'noAstroJournal', 'nonUS'
De laix, A;; 1995;; 1995PhDT........15D;; THE OHIO STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 12;; None;; None;; None;; True;; None
Ikebe, Y;; 1995;; 1995PhDT........15I;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Kozusko, F;; 1995;; 1995PhDT........15K;; OLD DOMINION UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Marchenko, V;; 1995;; 1995PhDT........15M;; DARTMOUTH COLLEGE.;; None;; None;; None;; None;; None;; 14;; 2;; None;; None;; True;; None
Roettiger, K;; 1995;; 1995PhDT........15R;; NEW MEXICO STATE UNIVERSITY.;; 2002;; University of Missouri;; 2000;; None;; 2;; 48;; 46;; True;; 2002;; None;; None
Sfatos, C;; 1995;; 1995PhDT........15S;; HARVARD UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Bauer, G;; 1995;; 1995PhDT........16B;; UNIVERSITY OF OREGON.;; None;; None;; None;; None;; None;; 10;; None;; None;; None;; True;; None
Dzegilenko, F;; 1995;; 1995PhDT........16D;; THE OHIO STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 3;; None;; None;; None;; True;; None
Henderson, B;; 1995;; 1995PhDT........16H;; UNIVERSITY OF COLORADO AT BOULDER.;; None;; None;; None;; None;; None;; 30;; None;; None;; None;; True;; None
Keane, T;; 1995;; 1995PhDT........16K;; RENSSELAER POLYTECHNIC INSTITUTE.;; None;; None;; None;; None;; None;; 6;; None;; None;; None;; True;; None
Pearce, S;; 1995;; 1995PhDT........16P;; THE UNIVERSITY OF ARIZONA.;; None;; None;; None;; None;; None;; 10;; 1;; None;; None;; True;; None
Stephens, S;; 1995;; 1995PhDT........16S;; CALIFORNIA INSTITUTE OF TECHNOLOGY.;; None;; None;; None;; None;; None;; 51;; 15;; None;; None;; True;; None
Shalit, D;; 1995;; 1995PhDT.........9S;; BOSTON UNIVERSITY.;; None;; None;; None;; None;; None;; 3;; None;; None;; None;; True;; None
Tian, Y;; 1995;; 1995PhDT.........9T;; OKLAHOMA STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 16;; 1;; None;; None;; True;; None
Childs, M;; 1995;; 1995PhDT........10C;; THE UNIVERSITY OF WISCONSIN - MADISON.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Deforest, C;; 1995;; 1995PhDT........10D;; STANFORD UNIVERSITY.;; 2015;; Southwest Research Institute, 1050 Walnut St. Suite 300, Boulder, CO 80302;; 2015;; None;; 2;; 218;; 204;; True;; 2015;; None;; None
Gillespie, A;; 1995;; 1995PhDT........10G;; CALIFORNIA INSTITUTE OF TECHNOLOGY.;; None;; None;; None;; None;; None;; 28;; None;; None;; None;; True;; None
Houdashelt, M;; 1995;; 1995PhDT........10H;; THE OHIO STATE UNIVERSITY.;; 2005;; Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD 21218;; 2005;; None;; 2;; 36;; 32;; True;; 2005;; None;; None
Manandhar, R;; 1995;; 1995PhDT........10M;; HARVARD UNIVERSITY.;; None;; None;; None;; None;; None;; 19;; None;; None;; None;; True;; None
Puchalla, J;; 1995;; 1995PhDT........10P;; MASSACHUSETTS INSTITUTE OF TECHNOLOGY.;; None;; None;; None;; None;; None;; 38;; None;; None;; None;; True;; None
Ruthling, C;; 1995;; 1995PhDT........10R;; STANFORD UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Shier, L;; 1995;; 1995PhDT........10S;; THE UNIVERSITY OF ARIZONA.;; 1998;; Naval Research Laboratory, Remote Sensing Division, Code 7217, Washington, DC 20375; NRL-NRC Cooperative Research Associate.; Visiting Astronomer at the Infrared Telescope Facility, which is operated by the University of Hawaii under contract to the National Aeronautics and Space Administration; .; Current address: Raytheon Systems Co., El Segundo, CA 90245.;; 1998;; None;; 1;; 14;; 12;; True;; 1998;; None;; None
Wang, X;; 1995;; 1995PhDT........10W;; TEMPLE UNIVERSITY.;; None;; None;; None;; None;; None;; 740;; 1;; None;; None;; True;; None
Buote, D;; 1995;; 1995PhDT........11B;; MASSACHUSETTS INSTITUTE OF TECHNOLOGY.;; 2015;; University of California, Irvine;; 2015;; None;; 1;; 164;; 158;; True;; 2015;; None;; None
Chan, F;; 1995;; 1995PhDT........11C;; UNIVERSITY OF CALIFORNIA, LOS ANGELES.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Davies, C;; 1995;; 1995PhDT........11D;; UNIVERSITY OF FLORIDA.;; None;; None;; None;; None;; None;; 13;; None;; None;; None;; True;; None
Hollis, K;; 1995;; 1995PhDT........11H;; THE UNIVERSITY OF WISCONSIN - MADISON.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Jun, B;; 1995;; 1995PhDT........11J;; UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN.;; 1999;; UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN.;; 1999;; None;; 1;; 18;; 18;; True;; 1999;; None;; None
Lai, J;; 1995;; 1995PhDT........11L;; UNIVERSITY OF CALIFORNIA, SANTA BARBARA.;; None;; None;; None;; None;; None;; 7;; None;; None;; None;; True;; None
Reed, M;; 1995;; 1995PhDT........11R;; THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL.;; None;; None;; None;; None;; None;; 25;; 1;; None;; None;; True;; None
Taramopoulos, A;; 1995;; 1995PhDT........11T;; UNIVERSITY OF PITTSBURGH.;; 2001;; Technological Institute of Thessaloniki, Department of Electronics, Al. Papanastasiou 13, Thessaloniki 54639, Greece;; 2001;; None;; 5;; 10;; 6;; True;; 2001;; None;; None
Chaturvedi-sarkar, I;; 1995;; 1995PhDT........13C;; THE UNIVERSITY OF ROCHESTER.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Dell'antonio, I;; 1995;; 1995PhDT........13D;; HARVARD UNIVERSITY.;; 2016;; NOAO;; 2013;; None;; 2;; 139;; 136;; True;; 2016;; None;; None
Hufnagel, B;; 1995;; 1995PhDT........13H;; UNIVERSITY OF CALIFORNIA, SANTA CRUZ.;; 1995;; UNIVERSITY OF CALIFORNIA, SANTA CRUZ.;; 1995;; None;; 1;; 46;; 9;; True;; 2014;; None;; None
Liu, R;; 1995;; 1995PhDT........13L;; CALIFORNIA INSTITUTE OF TECHNOLOGY.;; None;; None;; None;; None;; None;; 120;; 88;; None;; None;; True;; None
Merkel, J;; 1995;; 1995PhDT........13M;; UNIVERSITY OF MINNESOTA.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Tamanaha, C;; 1995;; 1995PhDT........13T;; UNIVERSITY OF CALIFORNIA, BERKELEY.;; None;; None;; None;; None;; None;; 8;; None;; None;; None;; True;; None
Bamber, J;; 1995;; 1995PhDT........30B;; UNIVERSITY OF CALIFORNIA, LOS ANGELES.;; None;; None;; None;; None;; None;; 7;; None;; None;; None;; True;; None
Martinez, M;; 1995;; 1995PhDT........30M;; THE JOHNS HOPKINS UNIVERSITY.;; None;; None;; None;; None;; None;; 356;; 1;; None;; None;; True;; None
Paquet, A;; 1995;; 1995PhDT........30P;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Merline, W;; 1995;; 1995PhDT........34M;; THE UNIVERSITY OF ARIZONA.;; 2015;; Southwest Research Inst., Boulder;; 2013;; None;; 2;; 233;; 228;; True;; 2015;; None;; None
Eisel, M;; 1995;; 1995PhDT........36E;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Meyer, R;; 1995;; 1995PhDT........36M;; OLD DOMINION UNIVERSITY.;; None;; None;; None;; None;; None;; 51;; None;; None;; None;; True;; None
Story, T;; 1995;; 1995PhDT........36S;; UNIVERSITY OF DELAWARE.;; None;; None;; None;; None;; None;; 12;; None;; None;; None;; True;; None
El-gamal, M;; 1995;; 1995PhDT........37E;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Matison, T;; 1995;; 1995PhDT........37M;; MONTANA STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Snow, M;; 1995;; 1995PhDT........37S;; UNIVERSITY OF COLORADO AT BOULDER.;; 2015;; Laboratory for Atmospheric and Space Physics, University of Colorado, 1234 Innovation Drive, Boulder, CO 80303, USA;; 2014;; None;; 2;; 105;; 101;; True;; 2015;; None;; None
Everall, C;; 1995;; 1995PhDT........38E;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Myint, S;; 1995;; 1995PhDT........40M;; BOSTON UNIVERSITY.;; None;; None;; None;; None;; None;; 2;; None;; None;; None;; True;; None
Wells, J;; 1995;; 1995PhDT........48W;; THE UNIVERSITY OF MICHIGAN.;; None;; None;; None;; None;; None;; 37;; None;; None;; None;; True;; None
Lackmann, G;; 1995;; 1995PhDT........56L;; STATE UNIVERSITY OF NEW YORK AT ALBANY.;; None;; None;; None;; None;; None;; 2;; None;; None;; None;; True;; None
Neumann, M;; 1995;; 1995PhDT........56N;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Otani, C;; 1995;; 1995PhDT........56O;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Ott, M;; 1995;; 1995PhDT........57O;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Splinter, R;; 1995;; 1995PhDT........17S;; UNIVERSITY OF KANSAS.;; 1998;; University of Kentucky;; 1998;; None;; 2;; 17;; 17;; True;; 1998;; None;; None
Crone, M;; 1995;; 1995PhDT........22C;; THE UNIVERSITY OF MICHIGAN.;; None;; None;; None;; None;; None;; 51;; None;; None;; None;; True;; None
